Date,Visitor,AWAYPTS,Home,HOMEPTS,OT
12/06/19,Iowa,91,Michigan,103,
12/07/19,Illinois,58,Maryland,59,
12/07/19,Penn State,74,Ohio State,106,
12/07/19,Indiana,64,Wisconsin,84,
12/08/19,Rutgers,65,Michigan State,77,
12/08/19,Northwestern,44,Purdue,58,
12/09/19,Minnesota,52,Iowa,72,
12/10/19,Maryland,69,Penn State,76,
12/11/19,Michigan,62,Illinois,71,
12/11/19,Wisconsin,65,Rutgers,72,
12/13/19,Nebraska,90,Indiana,96,OT
12/15/19,Ohio State,71,Minnesota,84,
12/15/19,Purdue,56,Nebraska,70,
12/18/19,Michigan State,77,Northwestern,72,
01/02/20,Illinois,56,Michigan State,76,
01/02/20,Minnesota,78,Purdue,83,2OT
01/03/20,Rutgers,79,Nebraska,62,
01/03/20,Wisconsin,61,Ohio State,57,
01/04/20,Indiana,59,Maryland,75,
01/04/20,Iowa,86,Penn State,89,
01/05/20,Purdue,37,Illinois,63,
01/05/20,Michigan,69,Michigan State,87,
01/05/20,Northwestern,68,Minnesota,77,
01/07/20,Ohio State,55,Maryland,67,
01/07/20,Iowa,70,Nebraska,76,
01/07/20,Penn State,61,Rutgers,72,
01/08/20,Northwestern,62,Indiana,66,
01/08/20,Illinois,71,Wisconsin,70,
01/09/20,Purdue,78,Michigan,84,2OT
01/09/20,Minnesota,58,Michigan State,74,
01/10/20,Maryland,49,Iowa,67,
01/11/20,Rutgers,51,Illinois,54,
01/11/20,Ohio State,54,Indiana,66,
01/11/20,Nebraska,57,Northwestern,62,
01/11/20,Wisconsin,58,Penn State,49,
01/12/20,Michigan,67,Minnesota,75,
01/12/20,Michigan State,42,Purdue,71,
01/14/20,Iowa,75,Northwestern,62,
01/14/20,Nebraska,68,Ohio State,80,
01/14/20,Maryland,54,Wisconsin,56,
01/15/20,Penn State,69,Minnesota,75,
01/15/20,Indiana,50,Rutgers,59,
01/17/20,Michigan,83,Iowa,90,
01/17/20,Wisconsin,55,Michigan State,67,
01/18/20,Northwestern,71,Illinois,75,
01/18/20,Purdue,50,Maryland,57,
01/18/20,Indiana,82,Nebraska,74,
01/18/20,Ohio State,76,Penn State,90,
01/19/20,Minnesota,56,Rutgers,64,
01/21/20,Maryland,77,Northwestern,66,
01/21/20,Illinois,79,Purdue,62,
01/21/20,Nebraska,68,Wisconsin,82,
01/22/20,Rutgers,80,Iowa,85,
01/22/20,Penn State,72,Michigan,63,
01/23/20,Michigan State,63,Indiana,67,
01/23/20,Minnesota,62,Ohio State,59,
01/24/20,Wisconsin,51,Purdue,70,
01/25/20,Illinois,64,Michigan,62,
01/25/20,Nebraska,72,Rutgers,75,
01/26/20,Maryland,77,Indiana,76,
01/26/20,Michigan State,70,Minnesota,52,
01/26/20,Ohio State,71,Northwestern,59,
01/27/20,Wisconsin,62,Iowa,68,
01/28/20,Michigan,79,Nebraska,68,
01/28/20,Purdue,63,Rutgers,70,
01/29/20,Northwestern,50,Michigan State,79,
01/29/20,Indiana,49,Penn State,64,
01/30/20,Minnesota,51,Illinois,59,
01/30/20,Iowa,72,Maryland,82,
02/01/20,Rutgers,63,Michigan,69,
02/01/20,Penn State,76,Nebraska,64,
02/01/20,Purdue,61,Northwestern,58,
02/01/20,Indiana,59,Ohio State,68,
02/01/20,Michigan State,63,Wisconsin,64,
02/02/20,Illinois,65,Iowa,72,
02/04/20,Rutgers,51,Maryland,56,
02/04/20,Ohio State,61,Michigan,58,
02/04/20,Penn State,75,Michigan State,70,
02/05/20,Wisconsin,52,Minnesota,70,
02/05/20,Iowa,68,Purdue,104,
02/07/20,Maryland,75,Illinois,66,
02/08/20,Purdue,74,Indiana,62,
02/08/20,Nebraska,72,Iowa,96,
02/08/20,Michigan State,68,Michigan,77,
02/08/20,Minnesota,77,Penn State,83,
02/09/20,Northwestern,73,Rutgers,77,OT
02/09/20,Ohio State,57,Wisconsin,70,
02/11/20,Michigan State,70,Illinois,69,
02/11/20,Nebraska,70,Maryland,72,
02/11/20,Penn State,88,Purdue,76,
02/12/20,Michigan,79,Northwestern,54,
02/12/20,Rutgers,66,Ohio State,72,
02/13/20,Iowa,77,Indiana,89,
02/15/20,Maryland,67,Michigan State,60,
02/15/20,Wisconsin,81,Nebraska,64,
02/15/20,Purdue,52,Ohio State,68,
02/15/20,Northwestern,61,Penn State,77,
02/15/20,Illinois,57,Rutgers,72,
02/16/20,Indiana,65,Michigan,89,
02/16/20,Iowa,58,Minnesota,55,
02/18/20,Northwestern,67,Maryland,76,
02/18/20,Illinois,62,Penn State,56,
02/18/20,Purdue,65,Wisconsin,69,
02/19/20,Indiana,68,Minnesota,56,
02/19/20,Michigan,60,Rutgers,52,
02/20/20,Ohio State,76,Iowa,85,
02/20/20,Michigan State,86,Nebraska,65,
02/22/20,Michigan,71,Purdue,63,
02/23/20,Penn State,60,Indiana,68,
02/23/20,Minnesota,83,Northwestern,57,
02/23/20,Maryland,72,Ohio State,79,
02/23/20,Rutgers,71,Wisconsin,79,
02/24/20,Nebraska,59,Illinois,71,
02/25/20,Iowa,70,Michigan State,78,
02/26/20,Maryland,74,Minnesota,73,
02/26/20,Rutgers,64,Penn State,65,
02/27/20,Wisconsin,81,Michigan,74,
02/27/20,Ohio State,75,Nebraska,54,
02/27/20,Illinois,74,Northwestern,66,
02/27/20,Indiana,49,Purdue,57,
02/29/20,Penn State,68,Iowa,77,
02/29/20,Michigan State,78,Maryland,66,
03/01/20,Indiana,66,Illinois,67,
03/01/20,Northwestern,81,Nebraska,76,OT
03/01/20,Michigan,63,Ohio State,77,
03/01/20,Minnesota,69,Wisconsin,71,
03/03/20,Purdue,,Iowa,,
03/03/20,Michigan State,,Penn State,,
03/03/20,Maryland,,Rutgers,,
03/04/20,Minnesota,,Indiana,,
03/04/20,Northwestern,,Wisconsin,,
03/05/20,Nebraska,,Michigan,,
03/05/20,Illinois,,Ohio State,,
03/07/20,Wisconsin,,Indiana,,
03/07/20,Penn State,,Northwestern,,
03/07/20,Rutgers,,Purdue,,
03/08/20,Iowa,,Illinois,,
03/08/20,Michigan,,Maryland,,
03/08/20,Ohio State,,Michigan State,,
03/08/20,Nebraska,,Minnesota,,
